Shrines,zeldadungeon_links,Coordinators,youtube_link,walkthrough,Location,Enemies,Items,Materials,Prerequisite,Rewards,Type,Skills,Inhabitants,Related,Depths Counterpart,Coordinates_y,Quests
Usazum Shrine,https://www.zeldadungeon.net/wiki/Usazum_Shrine,"-2138,-0874,0093",https://www.youtube.com/watch?v=m5Dm7oSiFro,"Usazum Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located northwest of Outskirt Stable, at the far southeast end of Satori Mountain. Shrine Quest: The Satori Mountain Crystal Interact with the shrine to start this quest. A beam of light will appear, leading towards the crystal you need to find. Follow it to the west up the path into Satori Mountain Foothill Cave. Inside is a Hinox walking laps around the cave with the crystal around its neck. Kill the Hinox and retrieve the crystal. Bring the crystal over to the shrine to complete the quest. Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Strong Zonaite Spear,,,Light of Blessing,Shrine of Light,,,,Muzasu Lightroot,,
Yamiyo Shrine,https://www.zeldadungeon.net/wiki/Yamiyo_Shrine,"0333, 0468, 0029",https://www.youtube.com/watch?v=XxbieBMH44M,"Yamiyo Shrine, also known as Combat Training: Throwing, is a Shrine of Light from Tears of the Kingdom. This shrine is found to the east of the Hyrule Castle Town Ruins and southwest of Hyrule Castle. Combat Training Video Walkthrough Gallery Arriving at the Yamiyo Shrine Grab some Fire Fruit Toss a Fire Fruit at the Soldier Construct The Construct will move around, but hit it with another Fire Fruit",Hyrule Castle Town Ruins,,3 Bomb Flowers,,,Light of Blessing,Shrine of Light,,,Combat Training Combat Training: Archery Combat Training: Shields Combat Training: Sneakstrike Combat Training: Throwing,Oyimay Lightroot,,
Sakunbomar Shrine,https://www.zeldadungeon.net/wiki/Sakunbomar_Shrine,"0166, 2318, 0179",https://www.youtube.com/watch?v=QOt5DJiTCPI,"Sakunbomar Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in the Great Hyrule Forest. Shrine Quest: None Shall Pass? Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Diamond,,,Light of Blessing,Shrine of Light,,,,Ramobnukas Lightroot,,
Isisim Shrine,https://www.zeldadungeon.net/wiki/Isisim_Shrine,"1841, 2840, 0363",https://www.youtube.com/watch?v=lVX2wsCVtmg,"Isisim Shrine, also known as Proving Grounds: In Reverse, is a Shrine of Light from Tears of the Kingdom. The Shrine is located north of Goron City. It is located inside YunoboCo HQ East Cave. Proving Grounds: In Reverse Video Walkthrough Gallery",,,Magic Rod,,,Light of Blessing,Shrine of Light (Proving Grounds),,,,Misisi Lightroot,,
Jiotak Shrine,https://www.zeldadungeon.net/wiki/Jiotak_Shrine,"1836, 3181, 0257",https://www.youtube.com/watch?v=qg4BXjWEHPA,"Jiotak Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located northeast of YunoboCo HQ, inside the Isle of Rabac Gallery. Requirements You will need the Flamebreaker Set to reach this shrine. To get there, jump down into the Isle of Rabac Gallery. Grab a cart and place it on the tracks. Attach a fan to the back of the cart and climb in. Hit it to start the fan. Along the track, you will need to be prepared to shoot a target to change the track direction so the cart goes to the left, however if you are late hitting the target the cart will make another lap around. Keep an eye out on the right side of the cart for the shrine, then jump and glide to the ledge with it when you see it.. Climb up and approach the shrine. Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Magic Staff,,,Light of Blessing,Shrine of Light,,,,Katoij Lightroot,,
Kimayat Shrine,https://www.zeldadungeon.net/wiki/Kimayat_Shrine,"2865, 3640, 0241",https://www.youtube.com/watch?v=oF6c6emk0m0,"Kimayat Shrine, also known as Proving Grounds: Smash, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in Eldin Canyon. Proving Grounds: Smash This is a Proving Grounds-type Shrine, so all of your equipment will be taken from you, leaving you only your Health/Stamina, and your Rune abilities. Your goal is to defeat all enemies using only what you can find within the shrine. Once all enemies are defeated, the door to the alter will open. There is a chest inside that contains a Captain III Reaper (or Captain IV Reaper, depending on your World Level) Video Walkthrough Gallery",,,Captain III Reaper,,,Light of Blessing,Shrine of Light (Proving Grounds),,,,Tayamik Lightroot,,
Kisinona Shrine,https://www.zeldadungeon.net/wiki/Kisinona_Shrine,"2567, 1244, 0173",https://www.youtube.com/watch?v=l9aSG52bonM,"Kisinona Shrine, also known as Wind Power, is a Shrine of Light from Tears of the Kingdom. The Shrine is located just northwest of Foothill Stable. Wind Power Video Walkthrough Gallery ",,,Mighty Construct Bow,,,Light of Blessing,Shrine of Light,,,,Anonisik Lightroot,,
Marakuguc Shrine,https://www.zeldadungeon.net/wiki/Marakuguc_Shrine,"1761, 2508, 0437",https://www.youtube.com/watch?v=eSIZJMiMycg,"Marakuguc Shrine, also known as Wheeled Wonders, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in the Eldin Canyon, northeast of Goron City. Wheeled Wonders Video Walkthrough Gallery Link arriving at the Marakuguc Shrine Extend the bridge across the gap Attach the platform to the broken bridge Activate the wheels to roll out the bridge across the lava Attached the two platforms with wheels to make a vehicle Ride it across the lava Arrange the curved platform so it's like a staircase to reach the treasure chest Attach the curved platform to the vehicle Activate it to push the orbs With enough orbs on the switch, the door will open up",,,Strong Construct Bow,,,Light of Blessing,Shrine of Light,,,,Cugukaram Lightroot,,
Momosik Shrine,https://www.zeldadungeon.net/wiki/Momosik_Shrine,"2962, 2757, 0524",https://www.youtube.com/watch?v=R8WhieCz1yw,"Momosik Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located on Death Mountain. The Death Caldera Crystal This Shrine Quest, The Death Caldera Crystal, involves retrieving a Sky Crystal from a nearby cave. Upon activating the shrine, a beam will appear that points into Death Mountain itself. Heading northwest a short distance reveals a cave entrance blocked by blue boulders. Inside the cave is a short minecart track leading to the crystal, which serves as the weak point of an Igneo Talus. Defeating the Talus allows the crystal to be taken back to the shrine, completing the quest. The shrine itself is a Rauru's Blessing shrine, posing no additional challenge.
The Flamebreaker Set is required for this quest, as is either Splash Fruit or Ice Fruit. Gallery",,,Big Battery,,,Light of Blessing,Shrine of Light,,,,Kisomom Lightroot,,
Moshapin Shrine,https://www.zeldadungeon.net/wiki/Moshapin_Shrine,"2678, 1905, 0131",https://www.youtube.com/watch?v=uTlgdFbJJmQ,"Moshapin Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Lake Intenoch Cave Crystal To access the shrine, Link will need to first find the Lake Intenoch Cave, which is located at the end of the pathway heading north of the Highland Stable. The cave entrance is right next to the Gero Pond, which is marked on the map. There is an entrance to a cave at 2488, 1786, 0158. The cave itself is filled with flames in the air, requiring Link to use a Fireproof Elixir or have part of the Flamebreaker Set in order to survive. From the entrance of the cave, Link will need to break the red sediment on the right side, using only rock-based weapons. Some are in the area, along with rocks ont he floor, but come prepapred with an extra one or two, as Bomb Flowers are not useful in this area. While breaking the sediment, he needs to keep to the right to eventually find the room with the green rock. After examining the green, Link can use the Hydrant that is near the the Fire Like to create a platform in the lava. After then attaching the green rock and a Fan, he can ride across the lava to the other side. Dropping the green rock at the shrine will complete the quest. Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest for a Mighty Zonaite Shield, and then examine the altar for your well-earned Light of Blessing. Gallery Lake Intenoch Cave Entrance",,,Mighty Zonaite Shield,,,Light of Blessing,Shrine of Light,,,,Nipahsom Lightroot,,
Sibajitak Shrine,https://www.zeldadungeon.net/wiki/Sibajitak_Shrine,"2399, 3273, 0402",https://www.youtube.com/watch?v=IFBTDipMteI,"Sibajitak Shrine, also known as Alignment, is a Shrine of Light from Tears of the Kingdom. The Shrine is located north of Death Mountain. Alignment Video Walkthrough Gallery",,,Strong Zonaite Longsword,,,Light of Blessing,Shrine of Light,,,,Katijabis Lightroot,,
Sitsum Shrine,https://www.zeldadungeon.net/wiki/Sitsum_Shrine,"2369, 2595, 0790",https://www.youtube.com/watch?v=98W2SLC7QqM,"Sitsum Shrine, also known as A Controlling Device, is a Shrine of Light from Tears of the Kingdom. The Shrine is located on Death Mountain. A Controlling Device Video Walkthrough Gallery Link reaching the Sitsum Shrine Drive the first car over the lava The cross roads Use Ultrahand to pull the orb down Take a Glider and start the fans Glide to the end",,,Mighty Construct Bow,,,Light of Blessing,Shrine of Light,,,,Mustis Lightroot,,
Timawak Shrine,https://www.zeldadungeon.net/wiki/Timawak_Shrine,"1798, 1639, 0311",https://www.youtube.com/watch?v=Y7H-nC99Y1c,"Timawak Shrine, also known as Against the Flow, is a Shrine of Light from Tears of the Kingdom. This shrine is found just south of the Gortram Cliff in the Eldin Region. Against The Flow Video Walkthrough Gallery Jump across the lava Use Recall on the small platform and ride across the lava Use Recall again to get close to the chest Then use Ultrahand to grab it and move it closer to where Link can reach it Carry the orb across the lava Use the Paraglider to reach the higher ledge Use the Hydrant to create a platform in the lava Attach a Fan to the platform that ride it across the lava",Eldin (Tears of the Kingdom),,Strong Zonaite Shield,,,Light of Blessing,Shrine of Light,,,,Kawamit Lightroot,,
Domizuin Shrine,https://www.zeldadungeon.net/wiki/Domizuin_Shrine,"3305, 1443, 0426",https://www.youtube.com/watch?v=6EtuoWomqP4,"Domizuin Shrine, also known as A Prone Pathway, is a Shrine of Light from Tears of the Kingdom. The Shrine is located southeast of South Akkala Stable, up the mountain. A Prone Pathway Video Walkthrough Gallery",,,Zonai Charge Strong Zonaite Shield Arrows,,,Light of Blessing,Shrine of Light,,,,Niuzimod Lightroot,,
Gatanisis Shrine,https://www.zeldadungeon.net/wiki/Gatanisis_Shrine,"4496, 0829, 0095",https://www.youtube.com/watch?v=ZN-fqVwilyo,"Gatanisis Shrine, also known as A Well-Timed Bounce, is a Shrine of Light from Tears of the Kingdom. The Shrine is located far southeast of Tarrey Town, up the cliff on the coast of Lanayru Sea. A Well-Timed Bounce Video Walkthrough Gallery",,,Bomb Flower x5,,,Light of Blessing,Shrine of Light,,,,Sisinatag Lightroot,,
Gemimik Shrine,https://www.zeldadungeon.net/wiki/Gemimik_Shrine,"4513, 2116, 0001",https://www.youtube.com/watch?v=zHpjb4Sme20,"Gemimik Shrine, also known as Turbine Power, is a Shrine of Light from Tears of the Kingdom. The Shrine is located southeast of East Akkala Stable, on the spiral island of Rist Peninsula. Turbine Power Video Walkthrough Gallery",,,Mighty Zonaite Shield,,,Light of Blessing,Shrine of Light,,,,Kimimeg Lightroot,,
Igashuk Shrine,https://www.zeldadungeon.net/wiki/Igashuk_Shrine,"4655, 3715, 0131",https://www.youtube.com/watch?v=7mHObbp-UIg,"Igashuk Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in Lomei Labyrinth Island. Requirements Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Large Zonai Charge,,,Light of Blessing,Shrine of Light,,,,Kuhsagi Lightroot,,
Jochi-ihiga Shrine,https://www.zeldadungeon.net/wiki/Jochi-ihiga_Shrine,"3812, 1219, 0090",https://www.youtube.com/watch?v=F-es-R3phvQ,"Jochi-ihiga Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in Lake Akkala, southwest of Tarrey Town. Shrine Quest: Rock for Sale Interact with the shrine and a beam of light will appear, leading towards the crystal you need to find. Find it in Tarrey Town and talk to Hagie beside it to start the quest. Offer to buy it and haggle it down to the lowest price of 50 rupees. Additionally pay the 20 rupee fee for unlimited access to the railcart. Attach the crystal to the railcart and ride the track south. Be careful not to get knocked off as it's a bit twisty. Stop the railcart at the construction site and grab the crystal. Bring the crystal over to the edge of the lake, to a spot where you have a clear line of sight from the shore to the shrine. Grab one of the nearby wings and attach the crystal to it. Attach a fan to the backside of the wing, then make sure it's in deep enough water to get going. Climb on and hit it to activate the fan and propel yourself forwards. You can stand on either side of the wing to adjust your direction if you find it going off course. Grab the crystal and bring it to the shrine to complete the quest. Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest containing a Diamond, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Diamond,,,Light of Blessing,Shrine of Light,,,,Agihi-ihcoj Lightroot,,
Jochi-iu Shrine,https://www.zeldadungeon.net/wiki/Jochi-iu_Shrine,"4346, 2875, 0165",https://www.youtube.com/watch?v=B9J1ykTOFU0,"Jochi-iu Shrine, also known as Courage to Pluck, is a Shrine of Light from Tears of the Kingdom. The Shrine is located just northeast of the East Akkala Stable. Courage to Pluck Video Walkthrough Gallery Use the Jenga pieces to reach the Treasure Chest Use two pieces to get the electric to flow Grab the Orb from the top of the puzzle Place the orb in the whole to complete the puzzle Remove the pieces from the top down until only the Treasure Chest remains",,,Large Zonaite Zonaite Bow,,,Light of Blessing,Shrine of Light,,,,Ui-ihcoj Lightroot,,
Kamatukis Shrine,https://www.zeldadungeon.net/wiki/Kamatukis_Shrine,"3431, 3355, 0071",https://www.youtube.com/watch?v=M5Y4e6GDy_k,"Kamatukis Shrine, also known as A Precise Strike, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in Deep Akkala. A Precise Strike Video Walkthrough Gallery",,,Mighty Zonaite Longsword,,,Light of Blessing,Shrine of Light,,,,Sikutamak Lightroot,,
Mayachideg Shrine,https://www.zeldadungeon.net/wiki/Mayachideg_Shrine,"3061, 1823, 0216",https://www.youtube.com/watch?v=Vf3hlU-kTYA,"Mayachideg Shrine, also known as Proving Grounds: The Hunt, is a Shrine of Light from Tears of the Kingdom. The Shrine is located just northwest of South Akkala Stable. Proving Grounds: The Hunt Video Walkthrough Gallery Shrine Entrance Use the Homing Cart to attack the Soldier Construct",,,Captain III Spear,,,Light of Blessing,Shrine of Light (Proving Grounds),,,,Gedihcayam Lightroot,,
Rasitakiwak Shrine,https://www.zeldadungeon.net/wiki/Rasitakiwak_Shrine,"4166, 1323, 0229",https://www.youtube.com/watch?v=Jn4EAADIqLU,"Rasitakiwak Shrine, also known as Proving Grounds: Vehicles, is a Shrine of Light from Tears of the Kingdom. The Shrine is located southeast of Tarrey Town. Proving Grounds: Vehicles Video Walkthrough Gallery Use the vehicles to ride into the Soldier Constructs Weaker enemies will be defeated with one hit",,,Magic Rod,,,Light of Blessing,Shrine of Light (Proving Grounds),,,,Kawikatisar Lightroot,,
Rasiwak Shrine,https://www.zeldadungeon.net/wiki/Rasiwak_Shrine,"4664, 3262, 0002",https://www.youtube.com/watch?v=J-rbHfd4O34,"Rasiwak Shrine, also known as Flotational Brilliance, is a Shrine of Light from Tears of the Kingdom. The Shrine is located northeast of Akkala Ancient Tech Lab. Flotational Brilliance Video Walkthrough Gallery",,,Magic Scepter,,,Light of Blessing,Shrine of Light,,,,Kawisar Lightroot,,
Sinatanika Shrine,https://www.zeldadungeon.net/wiki/Sinatanika_Shrine,"3842, 2300, 0048",https://www.youtube.com/watch?v=r0HtjjOSq4s,"Sinatanika Shrine, also known as Combat Training: Sneakstrike, is a Shrine of Light from Tears of the Kingdom. The Shrine is located northeast of Ulri Mountain Skyview Tower. Combat Training: Sneakstrike Video Walkthrough Gallery",,,Sneaky Elixir,,,Light of Blessing,Shrine of Light,,,Combat Training Combat Training: Archery Combat Training: Shields Combat Training: Throwing,Akinatanis Lightroot,,
Apogek Shrine,https://www.zeldadungeon.net/wiki/Apogek_Shrine,"3885, -0213, 0164",https://www.youtube.com/watch?v=2Y89XGiSDuo,"Apogek Shrine, also known as Wings on the Wind, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in the Lanayru Great Spring. Wings on the Wind Video Walkthrough Gallery",,,Strong Zonaite Spear,,,Light of Blessing,Shrine of Light,,,,Kegopa Lightroot,,
Ihen-a Shrine,https://www.zeldadungeon.net/wiki/Ihen-a_Shrine,"3784, 0579, 0485",https://www.youtube.com/watch?v=_7xmCqSPjhY,"Ihen-a Shrine, also known as Midair Perch, is a Shrine of Light from Tears of the Kingdom. The Shrine is located east of Zora's Domain. Contents Requirements To access the shrine, you must remove the mud from the entrance, such as with a Chuchu Jelly, Splash Fruit or with a Hydrant. Midair Perch Video Walkthrough Gallery Link arriving at the Ihen-a Shrine Use the hover stones to reach the platform Use a hover stone to make a bridge Use hover stones to reach the chest",Lanayru Great Spring,,Arrows,,,Light of Blessing,Shrine of Light,,,,A-nehi Lightroot,,
Jikais Shrine,https://www.zeldadungeon.net/wiki/Jikais_Shrine,"4265, -1674, 0182",https://www.youtube.com/watch?v=gOjJGWyV2-s,"Jikais Shrine, also known as Jailbreak, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in Mount Lanayru. Contents Requirements You will need 2 levels of Cold Resistance to reach this shrine. Jailbreak Video Walkthrough Gallery On the right side, pull the top block to the left Move the bottom block out of the way to the right Use Ascend to reach the top block Glide over to the larger bottom block on the left side of the shrine Move the top block over so it is even with the ledge above Ascend up the block and then ascend again to the top of the room Run around the corner and use ascend to reach a chest containing the Magic Staff Use Ultrahand to drop the block so it partially overhangs the edge Use Ascend on the above pillar Grab the platform that is outside of the jail cell Use it to make a ramp and then climb out of the jail",,,Magic Staff,,,Light of Blessing,Shrine of Light,,,,Siakij Lightroot,,
Jogou Shrine,https://www.zeldadungeon.net/wiki/Jogou_Shrine,"3346, -1184, 0057",https://www.youtube.com/watch?v=WFUSkTealx4,"Jogou Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. Location The Shrine is located west of Mount Lanayru Skyview Tower. To access the shrine, head west from the marked location down the road for Lanayru Road - East Gate. Jump under the bridge and glide towards the visible luminous stone deposits to find a cave. The coordinates of this cave are 3071, -1133, 0096 You will find a large open space with a center column surrounded by water and patrolled by Bokoblins, additionally there are Octoroks in the water. You can fight or avoid the patrol, but there is a section of breakable rock in the moat which must be destroyed to access the shrine. Alternatively, there is a visible section of the shrine that is high up, you can use a rock with Ultrahand and Recall to create an elevator to take you to the shrine. Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest containing a Hearty Elixir, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Hearty Elixir,,,Light of Blessing,Shrine of Light,,,,Uogoj Lightroot,,
Jojon Shrine,https://www.zeldadungeon.net/wiki/Jojon_Shrine,"1203, 0328, 0027",https://www.youtube.com/watch?v=WosSeCQIp80,"Jojon Shrine, also known as Proving Grounds: Rotation, is a Shrine of Light from Tears of the Kingdom. This shrine is found within the Crenel Peak Cave, located well east of Lookout Landing on the east side of the river. Link will need to travel deep within the cave to find the shrine. The Jojon Shrine is a Proving Grounds shrine, meaning that all of Link's items in his inventory are removed as he enters the shrine. Proving Grounds: Rotation Video Walkthrough Gallery",,,Magic Rod,,,Light of Blessing,Shrine of Light (Proving Grounds),,,,Nojoj Lightroot,,
Joniu Shrine,https://www.zeldadungeon.net/wiki/Joniu_Shrine,2918,https://www.youtube.com/watch?v=CKO-w5rok00,"Joniu Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located just southeast of Upland Zorana Skyview Tower, inside Ralis Channel. Shrine Quest: The Ralis Channel Crystal Interact with the crystal to start this quest. A beam of light will appear, leading towards the shrine you need to find. The entrance to this cave is located at 2911 0172 0160 Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Large Zonai Charge,,,Light of Blessing,Shrine of Light,,,,Uinoj Lightroot,,
Jonsau Shrine,https://www.zeldadungeon.net/wiki/Jonsau_Shrine,"1743, 0018, 0025",https://www.youtube.com/watch?v=Ud-SpbkorNo,"Jonsau Shrine, also known as Deep Force, is a Shrine of Light from Tears of the Kingdom. The Shrine is located within the Lanayru Wetlands. Deep Force Video Walkthrough Gallery",,,Strong Construct Bow,,,Light of Blessing,Shrine of Light,,,,Uasnoj Lightroot,,
Kurakat Shrine,https://www.zeldadungeon.net/wiki/Kurakat_Shrine,"2362,-0511, 0156",https://www.youtube.com/watch?v=YX4Tff8D26U,"Kurakat Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located northeast of Kakariko Village. Shrine Quest: Dyeing to Find It This Shrine is part of the shrine quest Dyeing to Find It and can be unlocked by solving the stone shadow puzzle on the surface. The nearby Steward Construct will tell the player: “Dye the white pattern black when the sun awakens in the sky. Then will the sacred shrine appear.” The puzzle consists of slotting wooden panels into a stone obelisk, rotating it to match the shape on the nearby cliff face, and waiting until morning so the shadow aligns with the pattern. Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest containing a Magic Scepter, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Magic Scepter,,,Light of Blessing,Shrine of Light,,,,Takaruk Lightroot,,
Maoikes Shrine,https://www.zeldadungeon.net/wiki/Maoikes_Shrine,"2275, 0146, 0078",https://www.youtube.com/watch?v=ItXHVFwHXAc,"Maoikes Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located southwest of Upland Zorana Skyview Tower in Boné Pond East Cave. Enter the Skull on top of the Hill. Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest containing a Diamond, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Diamond,,,Light of Blessing,Shrine of Light,,,,Sekioam Lightroot,,
Mogawak Shrine,https://www.zeldadungeon.net/wiki/Mogawak_Shrine,"3298, 0424, 0112",https://www.youtube.com/watch?v=VmJbRLDZmT8,"Mogawak Shrine, also known as The Power of Water, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in Zora's Domain. The Power of Water Video Walkthrough Gallery Link arriving at the Shrine Pull up the treasure chest in the water to get a Magic Scepter Attach the plank to the opposite side of the wheel from the other plank Use Ultrahand on a plank to turn the wheel so it is under the water Water will consistently turn the wheel, creating electricity Place a Battery on the charger Carry the charged battery to the other side of the room Move the balls so they are close together, creating an electric current and opening the door Place the battery and ride the platform to the top of the shrine",Zora's Domain,,Magic Scepter Opal,,,Light of Blessing,Shrine of Light,,,,Kawagom Lightroot,,
Morok Shrine,https://www.zeldadungeon.net/wiki/Morok_Shrine,"1183, -0780, 0133",https://www.youtube.com/watch?v=W6VadYdFWzA,"Morok Shrine, also known as A Bouncy Device, is a Shrine of Light from Tears of the Kingdom. The Shrine is located just northwest of the Sahasra Slope Skyview Tower. The Shrine is located atop a plateau, and can be accessed by being launched from the Skyview Tower and gliding over to the shrine. A Bouncy Device Video Walkthrough Gallery Link obtaining Sneaky Elixir from the chest",,,Sneaky Elixir,,,Light of Blessing,Shrine of Light,,,,Korom Lightroot,,
O-ogim Shrine,https://www.zeldadungeon.net/wiki/O-ogim_Shrine,"2756, -1086, 0100",https://www.youtube.com/watch?v=kab_-F9WW2Y,"O-ogim Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in East Necluda. Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest containing a Big Battery, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Big Battery,,,Light of Blessing,Shrine of Light,,,,Migo-o Lightroot,,
Tukarok Shrine,https://www.zeldadungeon.net/wiki/Tukarok_Shrine,"0915, -0249, 0034",https://www.youtube.com/watch?v=uIsFXIHZH6w,"Tukarok Shrine, also known as Forward Force, is a Shrine of Light from Tears of the Kingdom. The Shrine is located just south of the Wetland Stable. Contents Forward Force Video Walkthrough Gallery",Hyrule Field,,Strong Zonaite Sword,,,Light of Blessing,Shrine of Light,,,,Korakut Lightroot,,
Yomizuk Shrine,https://www.zeldadungeon.net/wiki/Yomizuk_Shrine,"4413, -0614, 0034",https://www.youtube.com/watch?v=uKNO4GBJHRI,"Yomizuk Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located within Tarm Point Cave in Lodrum Headland. Reaching the Shrine To reach the shrine, enter Tarm Point Cave. Within the cave is a large lake with water that rises and falls periodically, revealing a number of spires. Simply swim across the lake, stopping at spires to recover your stamina, and make your way to the Shrine at the end of the cave. Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest containing a Diamond, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Diamond,,,Light of Blessing,Shrine of Light,,,,Kuzimoy Lightroot,,
Zakusu Shrine,https://www.zeldadungeon.net/wiki/Zakusu_Shrine,"3527, -1481, 0168",https://www.youtube.com/watch?v=xCHtQ2pVCMc,"Zakusu Shrine, also known as Proving Grounds: Ascension, is a Shrine of Light from Tears of the Kingdom. The Shrine is located at (3526, -1482, 0182), southwest of Mount Lanayru Skyview Tower. Contents Shrine Quest: The High Spring and the Light Rings Activate the terminal at (3961, -1539, 1119), then Shield Surf down to the surface and through all the light rings. If all the rings are passed through within the time limit, the shrine will appear. Proving Grounds: Ascension Defeat the Constructs to complete the Shrine. Video Walkthrough Gallery",Naydra Snowfield,Captain Construct II Soldier Construct I Soldier Construct II,"Soldier III Spear or better (Strong Zonaite Spear+Soldier Construct III Horn, scales with World Level)",,,Light of Blessing,Shrine of Light (Proving Grounds),,,,Usukaz Lightroot,"(3526, -1482, 0182)",The High Spring and the Light Rings
Chichim Shrine,https://www.zeldadungeon.net/wiki/Chichim_Shrine,"-3211, -3008, -0049",https://www.youtube.com/watch?v=yMxgXCtzw1o,"Chichim Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in the Gerudo Desert. Access it through the Ancient Prison Ruins cave. The entrance of the cave is a sand whirlpool located in -3115 -3074 0016. Requirements Rauru's Blessing The shrine itself is simply a blessing shrine. Simply move forward, open the chest containing a Mighty Zonaite Spear, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Mighty Zonaite Spear,,,Light of Blessing,Shrine of Light,,,,Mihcihc Lightroot,,
Irasak Shrine,https://www.zeldadungeon.net/wiki/Irasak_Shrine,"-4159, -3824, -0028",https://www.youtube.com/watch?v=4w0InqZ24bY,"Irasak Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in Gerudo Desert inside the Arbiter's Grounds. Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest containing a Large Zonai Charge, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Large Zonai Charge,,,Light of Blessing,Shrine of Light,,,,Kasari Lightroot,,
